Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department For Transport,National Highways,04/03/2024,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,Mapp Property Management Ltd,951811,Non MA," £105,173.26 ",W1W 5QZ
Department for Transport,High Speed Two (HS2) Limited,27/03/2024,IT - Outsource,P40260 - The Euston Partnership,BLOOM PROCUREMENT SERVICES LTD,#,Creative Services TEP," £105,081.61 ",#
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,MACE CONSULT LIMITED,953340,RIS 3 Development," £105,061.65 ",EC2M 6XB
Department For Transport,National Highways,12/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMALGAMATED CONSTRUCTION LTD (AMCO),953012,Renewals of Structures," £105,003.90 ",LS25 3AA
Department For Transport,National Highways,04/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR GREATER MANCHESTER,951833,Routine Maintenance," £104,931.00 ",M16 0RE
Department For Transport,National Highways,22/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,955739,Corporate Support Services," £104,760.00 ",ST1 5UB
Department for Transport,Department for Transport,15/03/2024,Research,DG Roads and Local Group,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000034191,#," £104,729.00 ",EC1V 0AX
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LTD,955351,Carbon," £104,687.97 ",DE55 5JY
Department For Transport,National Highways,12/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMALGAMATED CONSTRUCTION LTD (AMCO),953010,Renewals of Structures," £104,526.38 ",LS25 3AA
Department For Transport,National Highways,20/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,Yunex Limited,955023,Customer Mobility," £104,356.83 ",BH17 7ER
Department for Transport,Department for Transport,26/03/2024,Prog&ProjMgmt Consul,DG Corporate Delivery Group,Methods Business and Digital,2000035656,#," £104,052.00 ",EC1N 8TS
Department For Transport,National Highways,12/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Amey Highways Ltd,CONF9076719243512813,Renewals of Roads," £103,938.63 ",CB25 9PG
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,EUROVIA INFRASTRUCTURE LTD,954876,Renewals of Roads," £103,918.80 ",RH12 2RW
Department for Transport,British Transport Police,26/03/2024,Wan Recurring Charges,Technology,Virgin Media Payments Ltd,572291,Wan Recurring Charges," £103,904.35 ",BD4 8YD
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",BJSS LIMITED,956738,RIS 3 Development," £103,884.50 ",LS1 4HR
Department for Transport,DVSA,07/03/2024,TECHNICAL SERVICE SUPPORT (TSS),TECHNICAL & APPLICATION SUPPORT,KAINOS SOFTWARE LIMITED,5100009082,DVSA - TTS CI (APR 23 - MAR 27)," £103,672.00 ",#
Department for Transport,British Transport Police,26/03/2024,Claim - Other,In Scope Corp Finance,Hickman And Rose Client Account,572727,Claim - Other," £103,500.00 ",EC1A 7HZ
Department For Transport,National Highways,07/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,AMALGAMATED CONSTRUCTION LTD (AMCO),952459,Protocol HRE," £103,400.72 ",LS25 3AA
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9903002940571229,Renewals of Technology," £103,295.24 ",M50 3XP
Department For Transport,National Highways,19/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9903002940564687,Technology Maintenance," £103,265.00 ",M50 3XP
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,THE COTSWOLDS CONSERVATION BOARD FOR THE COTSWOLDS AREA OF OUTSTANDING NATURAL BEAUTY,956915,Biodiversity," £103,022.50 ",GL54 2QB
Department for Transport,EWR,18/03/2024,Programme Partner: staffing assistance,"PC - Engineering, Technology & Solutions",Jacobs U.K. Limited,15693,Engineering Feb 2024," £102,984.00 ",G2 7HX
Department For Transport,National Highways,08/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AtkinsRéalis UK Limited,952619,Renewals of Structures," £102,973.81 ",WR5 1TX
Department For Transport,National Highways,28/03/2024,Contractor Costs,DIGITAL SERVICES,MOTT MACDONALD GROUP LTD,957328,Operate General Management Costs," £102,863.00 ",CR0 2EE
Department For Transport,National Highways,27/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,ATKINS LTD,956962,Corporate Support Services," £102,600.00 ",KT18 5BW
Department for Transport,DVSA,14/03/2024,BUILDING SERVICE CHARGE,ESTATES,"BNP PARIBAS EUROPE, C/O GOVERNMENT",1900009521,"JAN 24 - MAR 24 L'LORD SRVCS, RATES AND COMM RENT"," £102,597.25 ",#
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952014,RIS 2 Schemes," £102,527.36 ",SL6 4UB
Department For Transport,National Highways,28/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR KENT,957401,Routine Maintenance," £102,266.06 ",ME15 9BZ
Department For Transport,National Highways,28/03/2024,"Contingent Labour,","CUSTOMER, STRATEGY AND COMMUNICATIONS",PA CONSULTING SERVICES LTD,957222,Corporate Support Services," £102,211.46 ",SG8 6DP
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,WET & West Ruislip Network Rail connection agreement between NR & HS2," £102,199.16 ",#
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,953952,Renewals of Roads," £102,106.99 ",M50 3XP
Department For Transport,National Highways,26/03/2024,TA Cost AUC – Non SRN,FINANCE & BUSINESS SERVICES,Hickton Construction Limited,956690,Corporate Support Services," £101,879.22 ",DE5 3AQ
Department For Transport,National Highways,27/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8720011846700382,Routine Maintenance," £101,672.07 ",EN1 1TH
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SOUTH GLOUCESTERSHIRE COUNCIL,957402,RIS 2 Schemes," £101,479.09 ",BS35 1HF
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,P J Chaffin Ltd,954539,Renewals of Roads," £101,164.49 ",BN26 6QU
Department for Transport,Department for Transport,20/03/2024,Support Services,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034704,#," £101,092.82 ",RH6 0YR
Department For Transport,National Highways,14/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8730008346659583,Renewals of Structures," £101,090.00 ",EN1 1TH
Department For Transport,National Highways,22/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AECOM LIMITED,955729,Renewals of Roads," £100,954.34 ",B4 6AT
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,952148,RIS 1 Schemes," £100,646.07 ",G2 7HX
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,HEREFORDSHIRE COUNCIL,2000035586,Capability Fund 24/25," £100,518.00 ",HR4 0XH
Department For Transport,National Highways,23/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8700012746664787,Routine Maintenance," £100,501.13 ",EN1 1TH
Department For Transport,National Highways,14/03/2024,TA Cost AUC – Non SRN,FINANCE & BUSINESS SERVICES,FLEXIFORM BUSINESS FURNITURE,953511,Corporate Support Services," £100,329.07 ",BD3 7AE
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260002449185480,Renewals of Roads," £100,297.64 ",B37 7YB
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,C1000_3453 - Euston Stage B1 - CRSA - Stage 2 Remit," £100,208.32 ",#
Department for Transport,Department for Transport,13/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",Magnetic Systems Technology Limited,2000033935,"""PIVG Magtec February 2024 #100,000.00"""," £100,000.00 ",S60 1FH
Department for Transport,Department for Transport,20/03/2024,Research Grant-PS,DG Rail Strategy and Services Group,RAIL SAFETY & STANDARD BOARD,2000034737,RSSB - Research Grant for 2023/24 - Quarter 4," £100,000.00 ",EC2M 2RB
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,WILTSHIRE COUNCIL,2000035609,ATF4E Second Intallment," £100,000.00 ",BA14 4DS
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Dartmoor National Park Authority,2000035931,National parks LCWIP," £100,000.00 ",TQ13 9JQ
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Exmoor National Park Authority,2000035937,National parks LCWIP," £100,000.00 ",TA229HL
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Lake District National Park,2000035939,National parks LCWIP," £100,000.00 ",LA9 7RL
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,New Forest National Parks Authority,2000035936,National parks LCWIP," £100,000.00 ",SO41 9ZG
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,North York Moors,2000035938,National parks LCWIP," £100,000.00 ",YO625BP
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Northumberland National Park,2000035935,National parks LCWIP," £100,000.00 ",NE46 1BS
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Peak District National Park Authori,2000035934,National parks LCWIP," £100,000.00 ",DE45 1AE
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,The Broads Authority,2000035933,National parks LCWIP," £100,000.00 ",NR1 1RY
Department for Transport,Active Travel England,27/03/2024,CurrGrt Las in AEF/A,National Cycling and Walking,Yorkshire Dales National Park Autho,2000035932,National parks LCWIP," £100,000.00 ",DL8 3EL
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,READING BOROUGH COUNCIL,952489,Operate General Other," £100,000.00 ",RG1 7AE
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,CONNECTED PLACES CATAPULT SERVICES LTD,956984,Communities," £100,000.00 ",MK9 1BP
Department for Transport,Department for Transport,27/03/2024,CapGrtPriSec-P&NPISH,DG Roads and Local Group,ROAD SAFETY FOUNDATION,2000035843,Challenge Fund," £99,919.00 ",RG23 8PX
Department for Transport,Department for Transport,26/03/2024,Publicity,DG Roads and Local Group,Manning Gottlieb,2000035638,#," £99,917.56 ",SE1 0SW
Department For Transport,National Highways,11/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",MANNING GOTTLIEB,952826,Corporate Support Other," £99,901.00 ",N1 9RL
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,954188,Water Quality," £99,824.79 ",RG21 4HJ
Department for Transport,Department for Transport,13/03/2024,Research,"DG Decarbonisation, Technology and Strategy",NPL Management Ltd,2000033885,#," £99,700.00 ",TW11 0LW
Department For Transport,National Highways,01/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MOTT MACDONALD GROUP LTD,951673,Renewals of Roads," £99,669.37 ",CR0 2EE
Department For Transport,Maritime and Coastguard Agency,27/03/2024,Maintenance of Coastguard Telecomms,IT Service Operations,telent Technology Services Ltd,233135356,Radio network maintenance services core contract charge for February 2024," £99,658.30 ",CV34 5AH
Department for Transport,Department for Transport,26/03/2024,Research,DG Roads and Local Group,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000035576,#," £99,644.00 ",EC1V 0AX
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LEICESTER CITY COUNCIL,2000034662,S31 Determination - TSOG Grant," £99,054.03 ",LE1 1FZ
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,DIGITAL SERVICES,PA CONSULTING SERVICES LTD,952836,Corporate Support Services," £99,039.01 ",SG8 6DP
Department for Transport,DVSA,13/03/2024,LAND & BUILDING (EXCL DWELLINGS) CAPITAL COST,HULL MPTC,MITIE FM LIMITED,5100009393,HULL MPTC DECARBONISATION RIBA 5-7 WORKS," £98,803.65 ",#
Department for Transport,High Speed Two (HS2) Limited,26/03/2024,Business Services,P40260 - The Euston Partnership,NETWORK RAIL INFRASTRUCTURE LTD,#,The Euston Partnership NR Euston Integrator JV Funding Amount and Costs FY23-24 (P1-7)," £98,734.20 ",#
Department for Transport,High Speed Two (HS2) Limited,04/03/2024,Business Services,P40535 - External Communications,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LIMITED,#,Media and political monitoring services ," £98,690.40 ",#
Department For Transport,National Highways,26/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,BAE SYSTEMS APPLIED INTELLIGENCE,956579,Corporate Support Services," £98,591.26 ",GU2 7YP
Department For Transport,National Highways,28/03/2024,Consultants Costs,DIGITAL SERVICES,CAPGEMINI UK PLC,957287,Corporate Support Services," £98,521.94 ",GU21 6DB
Department For Transport,National Highways,06/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,BAM MORGAN SINDALL JOINT VENTURE,952273,RIS 2 Schemes," £98,517.53 ",LS27 0NQ
Department for Transport,Department for Transport,21/03/2024,Research,DG Rail Strategy and Services Group,PWC LLP,2000035012,#," £98,500.00 ",WC2N 6RH
Department for Transport,DVSA,21/03/2024,MEDIA & PRESS,EXTERNAL COMMUNICATIONS,MANNING GOTTLIEB,5100009589,READY TO PASS CAMPAIGN - MARCH 2024," £98,461.14 ",#
Department For Transport,National Highways,20/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LTD,954908,Renewals of Structures," £98,441.60 ",DE55 5JY
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",CONNECTED PLACES CATAPULT SERVICES LTD,956869,Energy and the Environment," £98,130.27 ",MK9 1BP
Department For Transport,National Highways,15/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9139406100000001,Routine Maintenance," £97,923.30 ",M50 3XP
Department For Transport,National Highways,21/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,APC215826,Renewals of Roads," £97,863.97 ",M50 3XP
Department For Transport,National Highways,25/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,956093,Renewals of Structures," £97,601.65 ",OX4 4DQ
Department for Transport,High Speed Two (HS2) Limited,14/03/2024,Office Accommodation,"P40010 - Health, Safety & Security",CONTROL RISKS GROUP LIMITED,#,Contract Variation - end date 24/01/2024," £97,565.84 ",#
Department for Transport,Department for Transport,04/03/2024,Research,"DG Aviation, Maritime and Security",MANCHESTER METROPOLITAN UNIV,2000032703,#," £97,413.38 ",M1 5GD
Department for Transport,Department for Transport,04/03/2024,Research,"DG Aviation, Maritime and Security",MANCHESTER METROPOLITAN UNIV,2000032703,#," £97,413.38 ",M1 5GD
Department for Transport,Department for Transport,14/03/2024,Support Services,"DG Decarbonisation, Technology and Strategy",VEHICLE CERTIFICATION AGENCY,2000034055,#," £97,071.00 ",BS5 6XX
Department For Transport,National Highways,12/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,SSS Public Safety Limited (previously CAPITA (SSS) LIMITED),952957,Operate General Management Costs," £96,855.84 ",SN14 0TW
Department For Transport,National Highways,25/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,SSS Public Safety Limited (previously CAPITA (SSS) LIMITED),956372,Operate General Management Costs," £96,855.84 ",SN14 0TW
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,Southend-on-Sea City Council,2000035595,Capability Fund 24/25," £96,790.00 ",SS2 6AN
Department For Transport,National Highways,26/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MILESTONE INFRASTRUCTURE LIMITED,956397,Renewals of Roads," £96,756.47 ",SG1 2ST
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,952473,RIS 2 Schemes," £96,629.63 ",RG21 4HJ
Department For Transport,National Highways,27/03/2024,Consultants Costs,DIGITAL SERVICES,ESRI UK,956852,Corporate Support Services," £96,574.00 ",HP21 7QG
Department For Transport,National Highways,26/03/2024,TA Cost AUC - Programme,COMMERCIAL & PROCUREMENT,JACOBS UK LTD,956466,Corporate Support Other," £96,507.86 ",G2 7HX
Department For Transport,National Highways,25/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,956072,Renewals of Structures," £96,279.16 ",OX4 4DQ
Department For Transport,National Highways,26/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMALGAMATED CONSTRUCTION LTD (AMCO),956483,Renewals of Structures," £96,264.88 ",LS25 3AA
Department for Transport,Department for Transport,12/03/2024,Research,DG Roads and Local Group,PA CONSULTING SERVICES LTD,2000033787,#," £96,246.75 ",SG8 6DP
Department for Transport,Department for Transport,13/03/2024,Research,DG Roads and Local Group,PA CONSULTING SERVICES LTD,2000033920,#," £96,246.75 ",SG8 6DP
Department For Transport,National Highways,08/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,WSP UK LIMITED,952602,Operate General Other," £96,085.19 ",RG21 4HJ
Department For Transport,National Highways,25/03/2024,Consultants Costs,DIGITAL SERVICES,Cognizant Worldwide Limited,956048,Corporate Support Services," £96,000.00 ",W2 6BD
Department for Transport,Driver & Vehicle Licensing Agency,18/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000031071,#," £95,873.29 ",SL1 4LZ
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,TILBURY DOUGLAS CONSTRUCTION LTD,954319,Renewals of Roads," £95,864.12 ",B37 7HQ
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LEEDS CITY COUNCIL,2000035792,Leeds 23-24 75% ORCS payment," £95,625.00 ",LS1 1JF
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2024,Computer equipment,Information Services,CDW Limited,2000031068,#," £95,596.32 ",EC4M 9AF
Department For Transport,National Highways,26/03/2024,Contractor Costs,DIGITAL SERVICES,NETCOMPANY UK LTD,956404,Corporate Support Services," £95,377.20 ",N1C 4AG
Department For Transport,National Highways,14/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,PAVEMENT TESTING SERVICES LTD (PTS),953572,Renewals of Roads," £95,280.48 ",PR2 5AR
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY OW LIMITED,952753,RIS 2 Schemes," £95,221.66 ",OX4 4DQ
Department for Transport,Department for Transport,13/03/2024,Research Grant-PS,DG Roads and Local Group,"Police, Fire & Crime Commissioner f",2000033893,Grant for Roads Policing Review Research," £95,000.00 ",CA10 2AU
Department For Transport,National Highways,04/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MACE CONSULT LIMITED,951741,Renewals of Roads," £94,839.46 ",EC2M 6XB
Department for Transport,DVSA,15/03/2024,SMALL SOFTWARE,INTELLIGENCE,SOFTCAT LIMITED,5100009400,ESRI MAPPING MANAGED SERVICES," £94,694.35 ",#
Department for Transport,Department for Transport,27/03/2024,Research,DG Roads and Local Group,Road Safety Foundation,2000035802,#," £94,342.00 ",RG12 1AX
Department for Transport,Department for Transport,21/03/2024,Management Consultan,"DG Decarbonisation, Technology and Strategy",PWC LLP,2000035012,#," £94,212.00 ",WC2N 6RH
Department for Transport,Department for Transport,28/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",London Borough of Bromley,2000036091,"""LEVI CF    BROMLEY 23/24 - #94,000"""," £94,000.00 ",BR1 3UH
Department For Transport,National Highways,14/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9122013312014247,Routine Maintenance," £93,896.70 ",OX4 4DQ
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033004,#," £93,851.34 ",REDACTED
Department For Transport,National Highways,08/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management,952680,Renewals of Structures," £93,845.70 ",OX9 3XA
Department For Transport,National Highways,21/03/2024,TA Cost AUC – Non SRN,MAJOR PROJECTS,Gowling WLG (UK) LLP 2022/2027 (TR140),LOMD302831,SR10 Schemes," £93,837.29 ",SE1 2AU
Department for Transport,Department for Transport,28/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",LONDON BOROUGH OF TOWER HAMLETS,2000036090,LEVI Capability fund :  TOWER HAM 23/24 - #93800," £93,800.00 ",E14 2BG
Department For Transport,National Highways,04/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT M1-A1 LTD,951895,Operate Roads PFI Service Payments," £93,772.00 ",NW1 3AX
Department For Transport,National Highways,18/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,953851,Renewals of Structures," £93,359.25 ",DL16 6TL
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WORCESTERSHIRE COUNTY COUNCIL,2000034691,S31 Determination - TSOG Grant," £93,202.24 ",WR5 2NP
Department for Transport,High Speed Two (HS2) Limited,04/03/2024,Business Services,P40260 - The Euston Partnership,NETWORK RAIL INFRASTRUCTURE LTD,#,The Euston Partnership NR Euston Integrator JV Funding Amount and Costs FY23-24 (P1-7)," £93,166.87 ",#
Department For Transport,National Highways,26/03/2024,ICT Hardware Maintenance,DIGITAL SERVICES,MOTT MACDONALD GROUP LTD,956724,Corporate Support Services," £93,081.23 ",CR0 2EE
Department For Transport,National Highways,08/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AECOM LIMITED,952710,Renewals of Roads," £93,063.26 ",B4 6AT
Department for Transport,Department for Transport,28/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",TELFORD & WRECKIN COUNCIL,2000036057,"""LEVI Capability Fund: Telford 23/24 - #93,031"""," £93,031.00 ",TF3 4NT
Department for Transport,Department for Transport,22/03/2024,Research Grant-PS,DG Roads and Local Group,Police & Crime Commissioner for,2000035212,Grant for Roads Policing Review Research," £93,000.00 ",PR1 0LD
Department for Transport,Driver & Vehicle Licensing Agency,06/03/2024,IT Consultancy,Information Services,Deloitte LLP,2000032456,#," £93,000.00 ",EC4A 3HQ
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,Octavius Infrastructure Ltd,953526,Feasibility," £92,986.21 ",RH2 9PY
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Octavius Infrastructure Ltd,955024,Renewals of Roads," £92,951.00 ",RH2 9PY
Department for Transport,Driver & Vehicle Licensing Agency,12/03/2024,Debt Collection,Operations,TDX Group Ltd,2000033008,#," £92,869.36 ",EC2R 7HJ
Department for Transport,British Transport Police,13/03/2024,Solicitors Fees,Legal & Insurance,Weightmans,571806,Solicitors Fees," £92,787.01 ",L2 OGA
Department for Transport,Department for Transport,12/03/2024,Transport  Consult,DG Roads and Local Group,WSP UK LIMITED,2000033767,#," £92,686.28 ",RG21 4HJ
Department For Transport,National Highways,13/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,HULL CITY COUNCIL,953186,Routine Maintenance," £92,670.36 ",HU1 2AB
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,AECOM LIMITED,952725,Feasibility," £92,498.93 ",B4 6AT
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,RUTLAND COUNTY COUNCIL,2000035548,ATF4E First Intallment," £92,161.00 ",LE15 6HP
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management,954174,Renewals of Roads," £92,121.46 ",OX9 3XA
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,955642,SR13 Smart Motorway Scheme," £92,083.05 ",ME15 6LP
Department For Transport,National Highways,11/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104210258173542,Renewals of Structures," £91,972.90 ",OX4 4DQ
Department for Transport,EWR,22/03/2024,HR Consultancy,Prepare Organisation,Ove Arup & Partners Limited,15756,Effectiveness Leadership Development Feb 2024," £91,890.00 ",WIT 4BJ
Department For Transport,National Highways,14/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8700012446679373,Routine Maintenance," £91,815.02 ",EN1 1TH
Department for Transport,Department for Transport,01/03/2024,HR Consultancy,DG Corporate Delivery Group,North Highland UK Ltd,2000032573,#," £91,806.00 ",WC1A 2SL
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033042,#," £91,774.18 ",REDACTED
Department for Transport,Driver & Vehicle Licensing Agency,31/03/2024,Non-stock Printing Purchases,Operations,APS Group Ltd,2000032571,#," £91,666.51 ",SK3 0ZP
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033096,#," £91,270.94 ",REDACTED
Department for Transport,Department for Transport,28/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",LONDON BOROUGH OF HARROW,2000036121,"""LEVI Capability fund: LB of Harrow23/24 -#91,259"""," £91,259.00 ",HA1 2XA
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2024,Computer equipment,Information Services,CDW Limited,2000031068,#," £91,091.45 ",EC4M 9AF
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2024,Computer equipment,Information Services,CDW Limited,2000031068,#," £91,091.45 ",EC4M 9AF
Department For Transport,National Highways,28/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,BALFOUR BEATTY CONSTRUCTION LTD,957275,Renewals of Structures," £91,084.47 ",ML7 4WQ
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,NORTH LINCOLNSHIRE COUNTY COUNCIL,2000035651,Capability Fund 24/25," £91,076.00 ",DN15 6NL
